"Przyspieszenie (Ax, Ay)"
[ 4.01542478e+22 -4.96047462e+21]
[-5.4721222e+21 -1.9527671e+22]
[ 4.03131930e+20 -1.40398079e+22]
[ 4.27325307e+22 -7.62283512e+22]
[-4.30802366e+21 -2.60719526e+21]
[ 2.27382409e+22 -1.61966547e+22]
[ 1.31050432e+22 -6.57836218e+21]
[-2.8166142e+21  6.1200713e+21]
[-9.25089223e+21 -4.03692154e+21]
[ 1.88646164e+22 -3.45057275e+22]
[-1.56797765e+23  4.86918419e+22]
[-1.49374957e+22  2.18187047e+21]
[-7.90973011e+20  3.24571913e+22]
[-2.11024815e+22  5.20455877e+22]
[ 1.25978099e+21 -1.59574463e+22]
[-2.23265283e+22  1.78806577e+21]
[6.08652287e+23 3.56453979e+22]
[-9.30311076e+20 -1.58063928e+22]
[ 2.63263420e+21 -1.26324291e+22]
[1.65817620e+22 1.30251581e+20]
[2.47493923e+22 9.06623080e+22]
[1.75936381e+22 7.30035822e+21]
[ 1.79697052e+22 -2.69126017e+22]
[ 4.02395426e+22 -2.66895256e+22]
[ 1.42800019e+22 -3.45704497e+21]
[-1.33350182e+21 -2.16138617e+22]
[-1.31339472e+22 -2.51314655e+22]
[-4.06288045e+22  6.21071051e+21]
[-9.65120640e+21  5.23928403e+22]
[ 2.02647753e+22 -1.26867655e+22]
[-2.46030316e+22  4.97518328e+21]
[ 3.36077307e+22 -4.33023270e+22]
[-2.59331649e+22 -2.25830461e+22]
[-5.64820506e+21  1.18390152e+22]
[2.37755346e+22 3.50064354e+22]
[-2.32776248e+22  1.61937734e+22]
[8.10042590e+21 1.37360012e+22]
[-1.03911646e+22 -1.56585112e+22]
[-1.10424350e+21  2.03093424e+22]
[4.21263520e+21 2.81765734e+21]
[5.41810466e+21 4.56911926e+21]
[-4.59749600e+22 -6.17362667e+22]
[-4.42862566e+21 -6.63830998e+21]
[ 8.21393693e+21 -3.43603285e+22]
[-6.50441999e+21  2.20801745e+21]
[1.95966201e+22 2.62057746e+22]
[ 2.07984710e+22 -3.60054919e+22]
[-2.44435274e+22  5.19687102e+21]
[-1.72929647e+23 -1.05060917e+23]
[-1.68780506e+22 -5.33973162e+20]
[-2.89793603e+21  8.59580366e+21]
[-1.32167301e+21 -9.67648872e+20]
[1.12800052e+23 8.45581802e+22]
[ 9.83034631e+20 -2.07446675e+22]
[-2.84968396e+22 -4.12108936e+21]
[-7.63478191e+21 -2.57814078e+22]
[-4.29700953e+21 -8.78252955e+21]
[-5.59784583e+21  6.05251443e+21]
[-3.38422792e+22 -2.81503445e+22]
[ 9.52089971e+22 -3.07271305e+22]
[ 4.89169501e+22 -6.63202119e+22]
[ 5.46611179e+21 -1.15247501e+22]
[-3.54216522e+21 -5.88390709e+21]
[ 1.02361588e+21 -7.73753994e+21]
[3.76987784e+21 6.81727860e+21]
[1.62086922e+23 7.41191904e+22]
[1.14656436e+22 2.98226273e+22]
[ 9.38867572e+21 -4.81370059e+21]
[-1.43170610e+22  3.70380895e+22]
[ 4.15740425e+22 -7.18976945e+21]
[2.04073486e+22 8.42413646e+21]
