"Pozycja (x, y)","Prędkość (Vx, Vy)",Masa,"Siła (Fx, Fy)","Przyspieszenie (Ax, Ay)"
[1.91798418e+33 1.48611938e+33],[1.93735776e+26 1.50113068e+26],1e+30,[-1.63241524e-15 -1.22148901e-15],[-1.63241524e-45 -1.22148901e-45]
[-2.41395350e+33  1.76956633e+33],[-2.43833687e+26  1.78744074e+26],1e+30,[3.85424445e-15 8.31769503e-16],[3.85424445e-45 8.31769503e-46]
[-1.18927319e+33 -3.53309654e+33],[-1.20128605e+26 -3.56878439e+26],1e+30,[6.38481097e-16 2.27286766e-15],[6.38481097e-46 2.27286766e-45]
[2.0525734e+33 2.9037974e+33],[2.07330647e+26 2.93312869e+26],1e+30,[-2.45751422e-15 -2.71591962e-15],[-2.45751422e-45 -2.71591962e-45]
[3.65889562e+33 9.32339880e+32],[3.69585417e+26 9.41757448e+25],1e+30,[-1.07253169e-15  2.57021653e-16],[-1.07253169e-45  2.57021653e-46]
[-1.65086443e+32 -4.04296712e+32],[-1.66753983e+25 -4.08380518e+25],1e+30,[1.10022032e-15 1.94951656e-15],[1.10022032e-45 1.94951656e-45]
[-2.70311505e+33 -7.32145786e+32],[-2.73041925e+26 -7.39541201e+25],1e+30,[2.71806072e-15 1.47970470e-15],[2.71806072e-45 1.47970470e-45]
[5.56334178e+33 1.02801141e+32],[5.61953715e+26 1.03839537e+25],1e+30,[-4.19082077e-15 -1.43920951e-16],[-4.19082077e-45 -1.43920951e-46]
[3.31652678e+33 3.98796426e+32],[3.35002706e+26 4.02824674e+25],1e+30,[-1.75432074e-15  3.03238462e-16],[-1.75432074e-45  3.03238462e-46]
[5.77719658e+34 2.27642120e+34],[5.83555210e+27 2.29941536e+27],1e+30,[-1.58795972e-17 -6.74027920e-18],[-1.58795972e-47 -6.74027920e-48]
[ 1.56305443e+33 -1.80794879e+33],[ 1.57884286e+26 -1.82621090e+26],1e+30,[-1.83981453e-15 -2.56664848e-15],[-1.83981453e-45 -2.56664848e-45]
[ 5.29569584e+32 -8.43114962e+32],[ 5.34918772e+25 -8.51631276e+25],1e+30,[ 1.75464212e-15 -4.07877162e-15],[ 1.75464212e-45 -4.07877162e-45]
[-1.67546880e+33 -2.94836677e+33],[-1.69239272e+26 -2.97814826e+26],1e+30,[-2.47330873e-16  1.77507496e-14],[-2.47330873e-46  1.77507496e-44]
[-5.08698339e+33  1.76221002e+32],[-5.13836706e+26  1.78001012e+25],1e+30,[ 1.15961674e-15 -7.72238790e-16],[ 1.15961674e-45 -7.72238790e-46]
[-2.01876134e+33 -4.09528231e+33],[-2.03915287e+26 -4.13664880e+26],1e+30,[7.31237108e-15 5.65779728e-14],[7.31237108e-45 5.65779728e-44]
[-4.53076234e+32  5.40943280e+33],[-4.57652761e+25  5.46407354e+26],1e+30,[ 1.38841875e-15 -1.85464683e-15],[ 1.38841875e-45 -1.85464683e-45]
[ 5.68190755e+32 -1.42145743e+33],[ 5.73930056e+25 -1.43581559e+26],1e+30,[1.79309201e-16 2.15458876e-15],[1.79309201e-46 2.15458876e-45]
