0
[-3.46288093e+21  4.28112648e+21]
[-1.24445082e+22 -2.40254820e+22]
[-1.98668207e+21  2.83800417e+22]
[9.63382193e+21 1.80991167e+21]
[-3.51709169e+21  2.05409973e+22]
[ 8.18533342e+21 -2.07825986e+21]
[ 1.79415417e+22 -1.83249855e+22]
[ 2.57270538e+22 -4.66910483e+21]
[ 6.18287371e+21 -1.44939760e+22]
[-1.05560182e+22  4.90311221e+21]
[-1.57363499e+22 -1.75191448e+22]
[-1.15115816e+22 -2.04153763e+22]
[5.80625871e+21 6.03268092e+21]
[ 2.02158184e+22 -4.65912310e+22]
[-1.33528349e+20 -1.69141541e+21]
[ 3.80823919e+21 -6.28858863e+21]
[ 4.02419801e+22 -3.37857892e+22]
[-4.75292659e+23 -2.46175585e+23]
[-8.14801873e+21  4.24683648e+22]
[2.58526462e+22 6.17232880e+22]
[ 1.61072455e+22 -5.82200953e+21]
[ 1.15950591e+23 -7.54720867e+22]
[-1.33561850e+23 -1.24373477e+23]
[-1.94976814e+22  7.32244630e+21]
[1.08266197e+22 1.07386420e+22]
[2.13896714e+22 3.86748928e+21]
[6.60811911e+21 9.57002762e+21]
[-9.38193144e+21  1.13538693e+22]
[4.16906441e+22 4.34363359e+21]
[ 9.96244506e+20 -3.63036085e+21]
[ 2.29818913e+22 -5.20386361e+22]
[-3.42500663e+21  1.43021254e+22]
[ 1.40050764e+22 -2.63554947e+20]
[-1.81140201e+22 -7.46636287e+22]
[-1.79837586e+22 -2.58921821e+22]
[-6.93076618e+22  2.66721100e+22]
[ 1.68819482e+22 -2.28845777e+22]
[-6.16265422e+21 -2.78064799e+21]
[-1.21927010e+21  1.81828575e+21]
[9.15783835e+21 2.23584757e+22]
[2.09959157e+22 1.25115935e+22]
[-9.00335048e+21  1.40301056e+21]
[-1.23348747e+23 -1.63269534e+21]
[-5.27630223e+23  3.74567346e+23]
[ 2.06588719e+22 -7.33763583e+21]
[7.98916672e+21 1.16222600e+22]
[ 1.68695826e+22 -1.88227621e+21]
[-5.99543444e+21  1.12644816e+20]
[ 7.36465190e+21 -7.76082288e+21]
[-7.01043216e+22  3.93043718e+22]
[6.05058989e+21 8.84004198e+21]
[-4.02576712e+22 -1.41811773e+23]
[6.07248927e+21 1.55635950e+22]
[-3.41033188e+22  2.02639233e+22]
[1.22414545e+22 3.69886922e+22]
[-9.68292223e+21 -1.17908952e+22]
[1.66491850e+22 4.13566551e+22]
[3.33051146e+23 8.50078689e+22]
[-2.31253997e+22  2.02750694e+22]
[-1.72584238e+23 -2.54398770e+23]
[-6.29201340e+22 -4.27349199e+22]
[1.60735780e+24 8.62370817e+23]
[ 9.17243000e+20 -3.18048998e+21]
[ 3.91905126e+21 -1.55063569e+22]
[-8.45182389e+21 -2.99861388e+21]
[-6.14478045e+21 -4.62147899e+22]
[-1.50652844e+22  2.08464127e+22]
[-7.68325194e+21 -3.30862589e+21]
[1.08384512e+21 7.87667106e+21]
[-2.77546377e+22 -1.05838990e+22]
[9.20960850e+21 4.15211679e+21]
[-1.03968277e+22  4.27876206e+21]
[ 1.11785998e+21 -9.06314839e+21]
[-6.30368408e+19 -1.37714189e+22]
[-2.21538197e+22  4.20755603e+21]
[ 8.22738599e+21 -2.96598983e+21]
[ 2.64842664e+20 -1.30619542e+22]
[ 1.40802545e+22 -8.36027795e+21]
[ 9.79869907e+21 -4.22671441e+20]
[-4.25668831e+21 -1.23483881e+22]
[-1.35957085e+22 -8.51873557e+21]
[6.28181475e+21 1.07401946e+23]
[-2.27054753e+22  9.12383595e+21]
[2.93991796e+20 3.30683115e+21]
[1.14203340e+22 6.42475498e+21]
[-2.82813274e+22 -3.06816356e+22]
[-3.97710878e+21  1.22223945e+22]
[8.44410952e+21 5.18901076e+21]
[ 1.36023910e+22 -4.38537878e+21]
[3.90846359e+21 1.47483449e+22]
[1.78803081e+20 1.42614559e+22]
[ 1.95110636e+22 -9.87923654e+21]
[ 1.11456490e+22 -9.15349602e+21]
[-3.75956983e+22  2.26915666e+22]
[ 2.03341805e+22 -2.40796483e+22]
[-6.26593918e+21 -2.35313888e+22]
[2.89543693e+21 1.57907657e+22]
[-3.74363863e+22 -1.49011329e+22]
[-9.98198670e+20 -2.30319406e+20]
[-9.58238248e+22  1.95482248e+22]
[-8.55006469e+21 -1.62580489e+22]
[-8.57218852e+21  7.54368576e+21]
[-8.56283894e+21  8.84648215e+20]
[-5.36945842e+21 -8.85709323e+21]
[-2.33977056e+21  7.55430770e+21]
[-5.38611563e+21  1.09717490e+22]
[-1.33969666e+23 -2.07503907e+23]
[ 8.82637637e+21 -5.96661007e+21]
[7.85957705e+21 1.08965286e+21]
[1.45684084e+23 2.28980562e+22]
[ 4.39578939e+20 -1.98102097e+21]
[ 1.06991096e+21 -1.79612596e+21]
[1.60790023e+22 1.08598428e+21]
[-2.21048187e+22 -3.99026474e+21]
[-1.73516071e+22  5.41383555e+19]
[2.62934008e+21 7.36929040e+21]
[-5.05359594e+22  3.31973359e+21]
[-6.85206798e+21  6.11889595e+21]
[ 5.87590982e+21 -5.16369989e+21]
[-1.22420415e+22  9.07537198e+20]
[-9.34587298e+22  3.28725778e+22]
[-1.7809937e+22 -4.8762749e+21]
[6.03253529e+21 2.01826377e+21]
[8.01752776e+21 8.12586403e+20]
[ 1.21164747e+23 -3.45003697e+22]
[-2.47675455e+22  2.21279678e+22]
[-6.10448219e+20 -9.27178262e+21]
[-1.26260379e+22 -1.24250099e+22]
[-2.20132767e+22  7.51830833e+22]
[1.93651162e+22 3.63449970e+22]
[ 2.93746307e+22 -1.48392707e+22]
[ 1.79798353e+20 -4.99817395e+21]
[-5.21351727e+20  7.01435558e+21]
[1.10130545e+22 2.07926923e+22]
[-3.69491166e+21  1.34555076e+22]
[-3.39146557e+21 -1.66835408e+20]
[ 8.13474757e+21 -1.83661489e+22]
[ 6.43164548e+21 -4.67900786e+20]
[-1.51715045e+22 -2.94041568e+22]
[2.11481450e+21 1.04000898e+22]
[-6.63454947e+21 -1.16534503e+22]
