0
[-3.63862584e+21 -3.42199422e+21]
[ 8.28965440e+21 -9.36548295e+21]
[6.59363874e+21 1.56085246e+23]
[1.12059415e+22 2.55860270e+22]
[-1.13553452e+22 -6.41711522e+21]
[-1.26284614e+21  2.48725212e+21]
[8.72898094e+21 9.15489424e+21]
[8.94932791e+21 5.83610940e+20]
[-4.68860410e+21  1.35748598e+22]
[-1.56104058e+22  9.27313962e+21]
[-8.27109078e+20 -3.44500427e+21]
[-6.21717041e+20 -5.30021290e+21]
[ 7.13102114e+21 -3.69535812e+21]
[-7.42709772e+21  3.37018239e+21]
[6.41202610e+20 4.13988638e+21]
[-3.39094408e+21  1.42704389e+22]
[-8.17883992e+20  1.08738305e+22]
[ 7.04846534e+21 -9.42114618e+21]
[-7.68291782e+20  1.07546244e+22]
[1.44445885e+21 2.14747221e+21]
[-3.91235899e+21 -1.78772906e+22]
[-6.10410570e+21 -2.37996271e+21]
[ 1.79339236e+22 -5.46783850e+21]
[-9.39032366e+21 -1.45883648e+22]
[4.04120616e+22 5.98189590e+22]
[1.71484533e+21 7.85609492e+21]
[-8.07015374e+21  1.15268956e+22]
[ 1.15821696e+21 -9.48245247e+21]
[-1.10092188e+22 -2.88789697e+22]
[-2.07992955e+21  9.80417794e+21]
[ 1.00726657e+21 -2.53586271e+21]
[-5.84184612e+20  2.33547409e+20]
[-3.86720372e+21  5.27694238e+21]
[-1.14902406e+21 -5.06728570e+21]
[1.34170491e+22 4.26139680e+22]
[-2.29424031e+21  2.73919258e+21]
[-3.55600070e+21 -5.89238607e+20]
[ 5.51514813e+22 -4.60618580e+21]
[2.02568146e+20 1.00966744e+22]
[ 1.95429053e+22 -2.91161290e+22]
[ 2.77121448e+22 -6.38783497e+21]
[-6.81264894e+21  7.04180436e+21]
[ 5.98473913e+21 -6.44459873e+20]
[-1.93268868e+22  2.60167717e+21]
[-1.13788373e+22  8.25816168e+21]
[-4.22009206e+22  6.88134057e+22]
[4.26239691e+21 4.46722617e+21]
[-2.65014741e+21 -1.00392906e+22]
[ 1.06797678e+22 -3.30297575e+21]
[ 2.60638876e+21 -8.21893562e+20]
[-1.98753089e+22  4.39332291e+21]
[2.30031583e+22 1.59765833e+22]
[-4.39723182e+22 -2.01347576e+22]
[-4.19864785e+21  9.72714571e+21]
[-3.88321153e+21 -3.21856407e+21]
[ 9.41553504e+21 -8.24807018e+20]
[-7.59908830e+20 -4.99808782e+21]
[-2.32113370e+21  5.16594622e+20]
[ 9.79306312e+21 -2.84324275e+21]
[-1.27431180e+22  4.89000984e+22]
[-1.85234294e+22  2.35715005e+22]
[ 7.26116742e+20 -3.88940347e+21]
[-1.39606681e+21 -2.59900519e+21]
[6.19230162e+21 3.79850261e+21]
[4.38932417e+21 4.71438545e+21]
[-1.00676728e+22  6.90680157e+21]
[-8.55926467e+21 -8.22123736e+20]
[-4.08244553e+21  2.04567090e+21]
[-2.77826343e+22 -1.17692218e+22]
[-1.51687030e+21 -9.59129396e+21]
[ 1.35788735e+21 -3.86163501e+21]
[-3.66424604e+21  2.13790374e+21]
[3.17403846e+21 1.71999216e+21]
[ 6.50537290e+21 -2.01398383e+21]
[-7.54210640e+21  4.56054291e+21]
[-2.24973050e+21 -1.49977191e+20]
[-1.71323924e+22 -2.35966068e+22]
[ 1.26844764e+22 -5.07815192e+22]
[-6.72932697e+21  1.73408824e+22]
[-3.54044900e+21 -2.79600903e+22]
[-1.60635750e+21 -4.66044609e+21]
[9.45102749e+21 1.27081107e+22]
[-1.21220944e+21 -4.15803528e+21]
[-1.52550385e+20  1.89065181e+21]
[-3.20316072e+21 -3.19551956e+21]
[3.20726968e+20 1.43087068e+21]
[1.10321914e+23 1.12142599e+23]
[-1.88578680e+21 -3.56835244e+21]
[-3.52355632e+22 -1.18099870e+22]
[ 1.05832540e+22 -1.77179192e+21]
[-8.43477488e+20  5.04736024e+21]
[-5.65095377e+21  2.28646219e+21]
[-7.13700854e+22 -9.73667936e+22]
[4.88814493e+21 4.18970656e+21]
[-1.04863052e+22  5.95700701e+21]
[-1.13986120e+22  8.54555981e+21]
[1.18706930e+22 2.11200594e+22]
[ 2.41028545e+22 -4.50823034e+21]
[-2.42113523e+21  4.04483717e+21]
[-4.61385859e+21 -5.41959175e+21]
[-6.05905159e+21 -7.99457265e+21]
[ 7.15228631e+21 -8.82330935e+21]
[-5.96383219e+22  5.84871596e+22]
[-1.31407956e+21 -2.66898214e+21]
[-3.68875146e+21 -5.72808476e+21]
[-5.43694539e+21 -2.41911928e+21]
[ 1.08544185e+22 -6.64543981e+21]
[-7.34375881e+21 -2.63548447e+21]
[1.44827456e+21 1.31251545e+22]
[-1.59305590e+20  5.05048716e+21]
[ 3.23038797e+20 -8.54562935e+21]
[4.15219711e+21 4.17753553e+21]
[2.01166827e+21 9.57862268e+20]
[-2.20057839e+22 -1.22203116e+23]
[-3.86926757e+20 -1.00480278e+22]
[-9.34878414e+23 -1.41357580e+24]
[-4.30984704e+22 -4.74008694e+22]
[-2.1996858e+21  1.3166947e+22]
[ 5.97143014e+21 -4.48148472e+20]
[-7.76316477e+21  5.14581832e+20]
[5.75971263e+22 2.08075921e+23]
[5.03955229e+22 1.45457375e+20]
[-6.13112917e+20  5.97721203e+21]
[ 1.49751407e+22 -1.26940985e+21]
[-3.12052230e+22  3.17823844e+21]
[9.07330903e+21 2.31782266e+21]
[-2.75285749e+21  6.59776187e+21]
[4.61010376e+21 5.96306430e+21]
[-5.68175006e+21  6.67182861e+21]
[ 1.10879015e+23 -1.79364314e+23]
[1.16175633e+21 6.49932394e+21]
[-1.21205787e+22 -3.77203669e+21]
[-7.58423861e+21  1.14335523e+22]
[-2.34953773e+21  9.98251133e+20]
[ 8.11737985e+21 -1.88536592e+21]
[1.05950934e+22 4.59486313e+21]
[8.1041390e+22 4.3792669e+22]
[-2.80659832e+21 -6.95212960e+21]
[-1.02313602e+21  5.60091857e+21]
[ 3.48709852e+22 -1.20273090e+22]
[4.43122376e+21 5.21403714e+21]
[-8.69081465e+21  4.51089173e+21]
[2.02364222e+23 2.57442511e+23]
[ 4.32066921e+21 -5.05767816e+21]
[5.43440995e+21 2.22758308e+22]
[-4.50383615e+22 -2.10871077e+22]
[-3.00645787e+22  2.53863316e+22]
[ 1.96335695e+21 -1.57487097e+21]
[ 4.23712072e+21 -5.57014274e+20]
[ 1.29852504e+23 -8.39369633e+22]
[-5.36293442e+21  8.27281403e+21]
[1.33462956e+21 6.96487433e+21]
[-8.22433063e+21 -3.58479296e+21]
[-2.1805160e+22 -2.5322977e+22]
[9.53653396e+21 1.94095801e+22]
[-5.11430629e+21  1.44356581e+22]
[ 3.62417218e+22 -2.13309322e+22]
[5.43252740e+20 1.56338514e+21]
[-6.4788297e+21 -9.1482688e+20]
[1.22998945e+22 2.29084356e+22]
[-1.72583528e+22  2.23077161e+22]
[5.77637522e+19 7.79989375e+20]
[ 4.79380361e+21 -9.71779628e+20]
[-6.46592686e+21  4.78210562e+20]
[-4.18845611e+21 -1.15138082e+21]
[ 3.62751722e+22 -5.64421065e+21]
[8.31115722e+21 9.49951511e+21]
[-1.36694247e+22  1.35997374e+22]
[-3.63510421e+21 -2.31849233e+21]
[-3.60827354e+21 -2.82121819e+21]
[-2.53847863e+21  2.20333334e+21]
[1.84886693e+22 5.84085369e+21]
[-7.45939458e+21 -8.79577429e+20]
[-7.54091242e+21  2.21658450e+21]
[3.57078567e+23 9.80320352e+22]
[1.33932144e+22 7.82738312e+20]
[ 7.33509566e+21 -8.62648204e+21]
[ 3.58050766e+21 -1.85403465e+22]
[ 4.90458372e+20 -6.60355807e+21]
[-1.04946637e+22 -6.35264140e+21]
[2.06683944e+22 1.58274950e+23]
[1.29638872e+22 1.04255421e+22]
[4.91820032e+22 3.64061314e+22]
[1.47404007e+21 4.14975840e+20]
[1.17709701e+22 2.25598674e+22]
[-3.40744950e+21 -3.30611257e+22]
[-1.13364021e+22  3.03278130e+21]
[ 4.59085173e+20 -3.52307588e+21]
[3.26287722e+21 5.36842323e+21]
[-5.7192262e+21  8.9211452e+20]
[-4.58122251e+21 -3.94674151e+21]
[ 1.79067109e+22 -1.37144715e+22]
[1.25053895e+23 4.10054331e+22]
[6.77454339e+21 1.00533311e+22]
[ 3.99605866e+21 -9.53657546e+21]
[1.30658501e+22 2.86086833e+21]
[5.17950668e+21 1.02623808e+21]
[-2.07114411e+21  8.20884596e+21]
[-1.76695187e+22 -2.77941167e+21]
[4.64100886e+22 2.65149460e+23]
[ 2.37576352e+21 -3.32768315e+20]
[-2.63158076e+22 -2.15614932e+22]
[ 4.92640174e+21 -3.34833721e+22]
[-4.28162740e+21 -3.41079219e+21]
[7.88895455e+21 8.68474459e+20]
[-5.44736499e+21  3.08606731e+21]
[-5.02482446e+21 -5.17233981e+21]
[-6.57074151e+21  8.03710685e+21]
[ 1.27783236e+22 -1.93267523e+22]
[-2.62123524e+21  7.08332924e+20]
[-1.64721173e+22  3.74806676e+22]
[-1.46909804e+22  1.17958267e+22]
[ 2.10294348e+21 -2.53198036e+21]
[-6.72997536e+21  1.09959995e+22]
[3.37654051e+21 7.64033213e+21]
[ 1.00390047e+22 -2.24558435e+22]
[-1.83067452e+21  2.05515281e+21]
[ 1.61195014e+23 -7.95934385e+22]
[-9.23846134e+21 -3.77875023e+21]
[-5.19357282e+21 -7.55795116e+21]
[ 4.99302000e+21 -2.66529055e+21]
[ 1.11424977e+21 -7.20631994e+21]
[-2.88766338e+21 -4.40772994e+21]
[2.01896181e+21 1.05059093e+22]
[-1.54169961e+21 -2.59389354e+21]
[-4.70230539e+22 -1.52955764e+22]
[-3.13596416e+21 -5.37596360e+21]
[ 2.86057389e+21 -6.71667034e+20]
[ 8.43402944e+20 -3.22736197e+21]
[6.39801439e+21 1.08894796e+22]
[ 1.67465648e+22 -3.57873651e+22]
[ 2.98921346e+22 -7.98356391e+20]
[-1.51859354e+21 -2.10665175e+21]
[-6.77760254e+21  1.01649074e+22]
[ 1.32956463e+22 -2.95378538e+22]
[1.16455950e+22 7.18394864e+21]
[7.57866415e+21 2.20041643e+21]
[ 4.92139833e+21 -4.24055548e+20]
[-2.42950854e+22 -2.17695118e+21]
[-5.92715211e+21 -6.73444874e+21]
[5.82492505e+21 1.99767392e+22]
[-1.53731930e+22 -3.06401678e+22]
[2.86600527e+21 1.09805637e+22]
[-1.19272593e+21 -5.13624000e+21]
[ 4.97105630e+21 -4.88541743e+20]
[6.96518564e+20 6.83740464e+21]
[-1.44193649e+22  1.05613396e+22]
[-8.82018069e+21 -1.30898324e+22]
[-3.52502532e+21  1.38614980e+22]
[1.61940206e+22 4.00383184e+21]
[-2.03096928e+22 -1.58343594e+22]
[ 3.13604883e+22 -3.09177404e+21]
[-4.36720163e+20  7.37127389e+21]
[-1.32352423e+22 -1.61421141e+20]
[-3.76892555e+21 -6.28599755e+21]
[-2.17800172e+21 -1.07472682e+22]
[4.57656340e+22 2.53181953e+22]
[ 1.41654283e+21 -3.21393457e+21]
[1.75367366e+21 2.04751305e+21]
[-4.68526559e+20 -1.37895866e+21]
[2.33539742e+21 4.68594391e+21]
[-4.51416940e+21 -7.10267114e+20]
[6.42738123e+21 5.57231106e+20]
[4.48462460e+21 7.31489818e+21]
[2.08492278e+19 3.53100758e+21]
[-9.01121311e+20  1.64072362e+21]
[ 4.80095963e+21 -8.50312109e+21]
[-2.43596936e+22  3.11412798e+22]
[ 2.77321469e+21 -2.15380319e+21]
[-3.05225563e+23  3.47287053e+23]
[1.14846866e+22 4.93436234e+21]
[-1.24123278e+22 -1.08338282e+22]
[ 6.39835931e+21 -5.78030527e+21]
[2.44380849e+22 2.37881040e+22]
[6.05691934e+20 1.07606711e+21]
[-4.82970414e+22 -3.10337822e+22]
[-2.74752350e+22 -1.89957254e+22]
[-2.11060883e+20 -7.14603652e+21]
[4.69925945e+21 3.87285758e+21]
[-1.86261083e+21  1.96723628e+21]
[-3.38723026e+21 -3.79381202e+21]
[ 1.07556478e+22 -3.17086795e+21]
[-6.58238679e+21  5.42502635e+21]
[ 7.05680266e+21 -1.26359797e+22]
[-7.00857491e+21  1.62981747e+21]
[ 2.44493112e+20 -3.01477053e+21]
[-3.44427274e+21  4.72528873e+21]
[ 1.26619196e+22 -1.57770695e+22]
[ 3.20265856e+21 -7.06763261e+20]
[3.15735497e+25 1.20090676e+25]
[-8.44754576e+21  9.08794780e+21]
[-1.53655294e+22 -5.61628748e+21]
[ 5.78873993e+21 -6.41062866e+21]
[-2.82692624e+20 -6.90383382e+21]
[-3.96941308e+21 -2.76733919e+21]
[-9.40971705e+21  1.18033469e+21]
