position,mass,velocity
[6.76087046e+31 2.14924476e+33],1e+30,[6.86382788e+24 2.18197437e+26]
[-1.00363953e+33  9.28180545e+32],1e+30,[-1.01892338e+26  9.42315274e+25]
[-1.38148622e+33 -1.54300452e+33],1e+30,[-1.40252408e+26 -1.56650205e+26]
[-3.65804625e+33  2.23517838e+32],1e+30,[-3.71375254e+26  2.26921663e+25]
[ 2.10607421e+33 -8.35180114e+33],1e+30,[ 2.13814641e+26 -8.47898593e+26]
[-5.35030919e+32  7.32015444e+32],1e+30,[-5.43178598e+25  7.43162888e+25]
[-1.50004565e+33  5.15166428e+32],1e+30,[-1.52288898e+26  5.23011602e+25]
[-9.46330726e+32  3.38007148e+33],1e+30,[-9.60741854e+25  3.43154465e+26]
[-1.59321875e+33 -5.50971052e+33],1e+30,[-1.61748097e+26 -5.59361474e+26]
[ 3.03955852e+33 -2.00596415e+33],1e+30,[ 3.08584621e+26 -2.03651182e+26]
[2.38903409e+33 4.00399588e+33],1e+30,[2.42541532e+26 4.06497043e+26]
[-9.08988276e+31  2.29682941e+33],1e+30,[-9.22830737e+24  2.33180651e+26]
[ 1.80927785e+34 -6.55543240e+33],1e+30,[ 1.83683030e+27 -6.65526132e+26]
[-1.15277695e+33 -2.73930227e+33],1e+30,[-1.17033193e+26 -2.78101753e+26]
[-1.77399526e+34  3.06099674e+33],1e+30,[-1.80101041e+27  3.10761090e+26]
[1.07719695e+33 1.82149440e+33],1e+30,[1.09360097e+26 1.84923289e+26]
[-2.74069752e+33 -1.42200070e+34],1e+30,[-2.78243403e+26 -1.44365554e+27]
[-5.38951002e+31 -2.40359391e+33],1e+30,[-5.47158378e+24 -2.44019686e+26]
[2.58490495e+33 1.81205899e+33],1e+30,[2.62426898e+26 1.83965380e+26]
[-2.30797032e+33  8.06772515e+32],1e+30,[-2.34311708e+26  8.19058391e+25]
[-3.81757087e+33  7.35344987e+33],1e+30,[-3.87570646e+26  7.46543134e+26]
[-1.37292762e+33 -1.83361473e+33],1e+30,[-1.39383515e+26 -1.86153780e+26]
[ 1.23502458e+33 -1.85433109e+33],1e+30,[ 1.25383207e+26 -1.88256964e+26]
[ 8.95724894e+33 -3.21698424e+33],1e+30,[ 9.09365375e+26 -3.26597385e+26]
[-1.83695915e+33  3.02228676e+33],1e+30,[-1.86493315e+26  3.06831143e+26]
[4.52640181e+33 2.71996751e+35],1e+30,[4.59533178e+26 2.76138833e+28]
[4.57497209e+33 4.83355073e+33],1e+30,[4.64464172e+26 4.90715811e+26]
[-6.65818823e+31 -3.40954879e+33],1e+30,[-6.75958196e+24 -3.46147085e+26]
[ 2.48775832e+33 -6.53396206e+33],1e+30,[ 2.52564297e+26 -6.63346402e+26]
[-1.29828369e+34 -6.20887466e+33],1e+30,[-1.31805450e+27 -6.30342605e+26]
[-2.88941410e+33  2.99631141e+33],1e+30,[-2.93341533e+26  3.04194052e+26]
[-1.06254023e+33 -1.78243669e+33],1e+30,[-1.07872105e+26 -1.80958039e+26]
[ 8.99204518e+33 -7.41108298e+33],1e+30,[ 9.12897988e+26 -7.52394211e+26]
[8.63096647e+33 1.14452220e+34],1e+30,[8.76240251e+26 1.16195147e+27]
[ 2.23743181e+33 -4.91032481e+33],1e+30,[ 2.27150437e+26 -4.98510133e+26]
[-7.16014301e+33 -1.10282839e+34],1e+30,[-7.26918072e+26 -1.11962273e+27]
[ 2.71857744e+33 -7.72296134e+33],1e+30,[ 2.75997710e+26 -7.84056989e+26]
[ 2.14851563e+33 -1.08983299e+32],1e+30,[ 2.18123414e+26 -1.10642943e+25]
[-4.69148730e+33  2.32263432e+33],1e+30,[-4.76293126e+26  2.35800439e+26]
[-2.80673286e+33 -2.85893195e+33],1e+30,[-2.84947498e+26 -2.90246898e+26]
[-6.92186609e+32 -2.16355984e+32],1e+30,[-7.02727522e+25 -2.19650745e+25]
[-1.84113715e+33 -8.21298712e+32],1e+30,[-1.86917477e+26 -8.33805799e+25]
[-1.26675996e+34 -7.19714348e+33],1e+30,[-1.28605072e+27 -7.30674465e+26]
[-3.74945006e+34  6.35573129e+34],1e+30,[-3.80654828e+27  6.45251908e+27]
[1.18869117e+34 9.18091030e+32],1e+30,[1.20679307e+27 9.32072112e+25]
[-2.41567198e+32  1.37880299e+34],1e+30,[-2.45245886e+25  1.39979999e+27]
[-3.16018553e+33 -8.38994611e+32],1e+30,[-3.20831018e+26 -8.51771178e+25]
[ 2.64671997e+32 -2.72201095e+33],1e+30,[ 2.68702535e+25 -2.76346290e+26]
[-7.42110512e+33 -1.26432408e+33],1e+30,[-7.53411687e+26 -1.28357774e+26]
[ 1.26965968e+32 -2.95753401e+33],1e+30,[ 1.2889946e+25 -3.0025726e+26]
[ 1.35883025e+32 -4.00034764e+33],1e+30,[ 1.37952310e+25 -4.06126664e+26]
[ 3.55861341e+33 -1.83415098e+32],1e+30,[ 3.61280550e+26 -1.86208221e+25]
[-8.97224288e+31 -3.07006532e+33],1e+30,[-9.10887602e+24 -3.11681759e+26]
[-2.90962895e+33 -1.21343345e+33],1e+30,[-2.95393802e+26 -1.23191213e+26]
[ 1.83443051e+35 -8.69842008e+34],1e+30,[ 1.86236600e+28 -8.83088333e+27]
[-5.45515731e+33  5.05031652e+33],1e+30,[-5.53823077e+26  5.12722490e+26]
[-5.60977549e+33  3.91229190e+33],1e+30,[-5.69520354e+26  3.97186995e+26]
[1.41676251e+34 1.26254823e+33],1e+30,[1.43833758e+27 1.28177485e+26]
